Date,Description,Withdrawal,Deposit,Balance
15/01/2024,SWIGGY PAYMENT,450.00,0.00,25550.00
16/01/2024,NETFLIX SUBSCRIPTION,199.00,0.00,25351.00
17/01/2024,PETROL PUMP PAYMENT,1200.00,0.00,24151.00
18/01/2024,AMAZON SHOPPING,2500.00,0.00,21651.00
19/01/2024,SALARY CREDIT,0.00,50000.00,71651.00
20/01/2024,ELECTRICITY BILL,800.00,0.00,70851.00
21/01/2024,UBER RIDE,350.00,0.00,70501.00
22/01/2024,BIGBASKET ORDER,1500.00,0.00,69001.00
23/01/2024,MOBILE RECHARGE,299.00,0.00,68702.00
24/01/2024,EMI PAYMENT,5000.00,0.00,63702.00
25/01/2024,ZOMATO ORDER,650.00,0.00,63052.00
26/01/2024,FLIPKART SHOPPING,3200.00,0.00,59852.00
27/01/2024,OLA CAB,280.00,0.00,59572.00
28/01/2024,SPOTIFY SUBSCRIPTION,119.00,0.00,59453.00
29/01/2024,BLINKIT GROCERIES,890.00,0.00,58563.00
30/01/2024,BROADBAND BILL,999.00,0.00,57564.00

